id;article;name;size_type;size_grid_name;product_type_name;description;patterns_path;constructor_name;patterns_created_on;default_routing_code;assembly_variant_ids;routing_template_ids;photo_paths;photo_urls;status;created_at;updated_at
21;182.1.2;Майка;men;Мужская (Mosmade);Майка;Майка баскетбольная двухсторонняя, V-обр цельная;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
22;182.2;Майка;men;Мужская (Mosmade);Майка;Майка баскетбольная, V-обр с боковой вставкой;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
23;182.1;Майка;men;Мужская (Mosmade);Майка;Майка баскетбольная, O-обр цельная;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
24;251.1;Манишка;men;Мужская (Mosmade);Майка;Манишка баскетбольная односторонняя;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
25;251.2;Манишка;men;Мужская (Mosmade);Майка;Манишка баскетбольная двусторонняя;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
26;212.1;Футболка;men;Мужская (Mosmade);Футболка;Футболка Муж., О-образ цельная, рукав реглан, короткий;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
27;212.2;Футболка;men;Мужская (Mosmade);Футболка;Футболка Муж., О-образ цельная, рукав реглан, длинный;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
28;212.3;Футболка;men;Мужская (Mosmade);Футболка;Футболка Муж., О-образ цельная, рукав реглан составной, короткий;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
29;212.4;Футболка;men;Мужская (Mosmade);Футболка;Футболка Муж., О-образ цельная, рукав Реглан с лампасом;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
30;212.5;Футболка;men;Мужская (Mosmade);Футболка;Футболка Муж., О-образ с бок встав, рукав Реглан, короткий составной;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
